gem_key,land,ew_BSW,ew_AfD,ew_FDP,ew_Die Linke,ew_SPD,ew_CDU,ew_GRÜNE,ew_CSU,ew_FREIE WÄHLER,ew_valid,btw_BSW,btw_AfD,btw_FDP,btw_Die Linke,btw_SPD,btw_CDU,btw_GRÜNE,btw_CSU,btw_FREIE WÄHLER,btw_valid,swing_BSW,swing_AfD,swing_FDP,swing_Die Linke,swing_SPD,swing_CDU,swing_GRÜNE,swing_CSU,swing_FREIE WÄHLER,swing_z
09_90_139,09,4.717868338557993,14.012539184952978,2.7742946708463947,1.2539184952978055,7.852664576802508,0.0,9.45141065830721,39.57680250783699,8.448275862068966,6380.0,3.330032186184699,19.782124288190143,3.478583807873236,5.904926962119336,10.113889576627878,0.0,10.051993067590988,39.84897251794999,4.0108937855904925,8078,-1.3878361523732945,5.769585103237166,0.7042891370268411,4.65100846682153,2.2612249998253704,0.0,0.6005824092837777,0.2721700101130011,-4.437382076478474,0.16422697766670458
09_90_140,09,4.064060616497331,12.89822627862924,2.6691923540554505,1.1537799207852593,9.557430687101775,0.0,8.937489237127604,38.84966419838126,8.816945066299294,5807.0,2.986073915372255,18.893947509373326,3.642206748794858,5.382967327262989,12.493304767005892,0.0,9.30637386181039,38.85913229780396,4.67327262988752,7468,-1.0779867011250759,5.995721230744087,0.9730143947394074,4.229187406477729,2.935874079904117,0.0,0.3688846246827868,0.009468099422697662,-4.143672436411774,0.2786040738616115
09_90_141,09,3.6792452830188678,9.257075471698114,4.811320754716982,1.2264150943396228,10.89622641509434,0.0,16.191037735849058,36.25,5.483490566037736,8480.0,3.0609270236128654,14.226022738315033,4.790593722670295,4.946069381012536,13.79846467787387,0.0,16.431833641045575,35.97318044893596,3.5759401418715386,10291,-0.6183182594060024,4.968947266616919,-0.02072703204668702,3.719654286672913,2.9022382627795302,0.0,0.24079590519651717,-0.2768195510640368,-1.9075504241661978,0.4482849991124601
09_90_142,09,3.2716927453769555,8.392603129445234,3.4613560929350404,1.1379800853485065,6.922712185870081,0.0,13.79800853485064,40.06638217164533,10.573731626363205,2109.0,2.734217933252915,13.34941696823482,5.3880176919983915,4.101326899879373,9.248090068355449,0.0,14.394853236831523,43.94853236831524,4.0209087253719344,2487,-0.5374748121240405,4.956813838789586,1.926661599063351,2.9633468145308663,2.325377882485368,0.0,0.5968447019808831,3.8821501966699117,-6.552822900991271,0.47812735871402484
09_90_143,09,2.9850746268656714,15.298507462686567,4.291044776119403,0.3731343283582089,4.291044776119403,0.0,8.022388059701493,37.12686567164179,18.470149253731343,536.0,3.459119496855346,23.11320754716981,4.8742138364779874,3.1446540880503147,8.333333333333332,0.0,4.8742138364779874,46.22641509433962,4.559748427672956,636,0.47404486998967466,7.814700084483244,0.5831690603585846,2.7715197596921057,4.042288557213929,0.0,-3.1481742232235055,9.099549422697834,-13.910400826058387,0.8515173502666635
09_90_144,09,3.750884642604388,10.049539985845717,3.750884642604388,1.4154281670205235,7.077140835102619,0.0,11.8895966029724,39.70276008492569,9.695682944090587,1413.0,2.2195560887822436,14.277144571085785,4.679064187162568,4.499100179964008,11.757648470305938,0.0,12.837432513497301,42.17156568686263,4.619076184763047,1667,-1.5313285538221444,4.227604585240067,0.9281795445581795,3.083672012943484,4.680507635203319,0.0,0.9478359105249012,2.4688056019369355,-5.0766067593275395,0.11125853077213335
09_90_145,09,3.8114343029087263,12.83851554663992,1.60481444332999,0.7021063189568706,2.4072216649949847,0.0,6.720160481444333,47.84353059177533,14.744232698094283,997.0,2.02757502027575,19.951338199513383,3.4874290348742907,4.13625304136253,4.37956204379562,0.0,8.110300081103,47.93187347931874,6.244931062449311,1233,-1.7838592826329762,7.112822652873463,1.8826145915443007,3.43414672240566,1.9723403788006357,0.0,1.3901395996586672,0.08834288754341202,-8.499301635644972,0.018039932691648535
09_90_148,09,4.665777947057704,13.102266235002858,3.904018282231956,2.2091030279946677,8.131784422014853,0.0,9.293467910874119,38.964006855836985,6.075033326985336,5251.0,3.3156498673740056,18.818155025051578,4.494547597995874,7.500736811081639,10.683760683760683,0.0,10.477453580901857,38.31417624521073,3.183023872679045,6786,-1.350128079683698,5.715888790048719,0.5905293157639182,5.291633783086971,2.55197626174583,0.0,1.183985670027738,-0.6498306106262532,-2.892009454306291,0.17814644675069996
09_90_149,09,2.840909090909091,12.68939393939394,3.5984848484848486,0.946969696969697,6.25,0.0,5.681818181818182,49.24242424242424,10.037878787878787,528.0,2.1341463414634148,18.902439024390244,5.640243902439025,4.725609756097561,5.7926829268292686,0.0,7.926829268292683,47.86585365853659,4.2682926829268295,656,-0.7067627494456761,6.213045084996304,2.041759053954176,3.7786400591278637,-0.45731707317073145,0.0,2.245011086474501,-1.3765705838876556,-5.769586104951958,0.41563680850109974
09_90_151,09,3.3775633293124248,10.735826296743065,3.4981905910735827,1.8094089264173705,4.101326899879373,0.0,8.082026537997587,43.78769601930036,11.821471652593486,829.0,2.8798411122144985,16.28599801390268,5.660377358490567,5.163853028798411,6.355511420059583,0.0,9.930486593843098,43.39622641509434,6.951340615690168,1007,-0.4977222170979263,5.550171717159616,2.162186767416984,3.3544441023810405,2.2541845201802095,0.0,1.8484600558455107,-0.39146960420602284,-4.8701310369033175,0.4928015379548867
