gem_key,z25_valid,z25_BSW,z25_Die Linke,z25_AfD,z25_SPD,z25_CDU,z25_FDP,z25_GRÜNE,z21_valid,z21_Die Linke,z21_AfD,z21_SPD,z21_CDU,z21_FDP,z21_GRÜNE,z17_valid,z17_Die Linke,z17_AfD,z17_SPD,z17_CDU,z17_FDP,z17_GRÜNE,z13_valid,z13_Die Linke,z13_AfD,z13_SPD,z13_CDU,z13_FDP,z13_GRÜNE,land,deficit
09_71_150,7214,2.8555586359855836,4.200166343221514,22.400887163848076,10.895481009148877,0.0,3.728860548932631,7.346825616856114,6996.0,1.9153802172670098,11.177815894797028,20.05431675242996,0.0,7.947398513436249,9.176672384219554,6826,4.468209786111925,13.302080281277467,18.61998242015822,0.0,7.764430120128919,6.621740404336361,6134,2.9344636452559505,3.439843495272253,21.421584610368438,0.0,3.945223345288556,5.999347896967721,09,-163.65952821641352
09_71_151,14693,3.5527121758660587,4.852650922207854,25.57680528142653,13.223984210168108,0.0,3.0150411760702376,7.472946300959641,13859.0,3.102676960819684,12.316905981672559,23.111335594198714,0.0,8.449383072371743,8.802943935348871,13772,6.455126343305256,14.529480104559978,19.51786232936393,0.0,7.224803950043566,6.7891373801916926,12331,4.160246533127889,3.422269077933663,25.083123834238908,0.0,3.8034222690779336,5.782175006082232,09,-325.02236443005336
09_71_152,5685,3.2541776605101145,4.397537379067722,21.97009674582234,9.551451187335093,0.0,3.4828496042216357,8.68953386103782,5356.0,2.557879014189694,10.418222554144885,16.11277072442121,0.0,9.12994772218073,10.660941000746826,5168,5.127708978328173,12.229102167182662,14.551083591331269,0.0,8.707430340557277,7.507739938080496,4597,3.154231020230585,3.4805307809440937,16.96758755710246,0.0,4.307156841418316,7.76593430498151,09,-118.92265988720303
09_71_153,3373,2.4014230655203086,3.52801660243107,31.959679810257928,7.05603320486214,0.0,3.2315446190335018,5.24755410613697,3165.0,2.022116903633491,15.355450236966824,15.70300157977883,0.0,8.941548183254344,7.045813586097946,2917,4.422351731230716,21.049022968803566,13.678436750085703,0.0,7.164895440521084,4.388069934864587,2388,3.350083752093802,5.6951423785594635,16.24790619765494,0.0,3.5594639865996647,4.0201005025125625,09,-101.9802969210488
09_71_154,4540,2.290748898678414,3.2599118942731278,24.251101321585903,8.54625550660793,0.0,3.2158590308370045,6.71806167400881,4377.0,2.376056659812657,12.131596984235777,15.375828192826136,0.0,9.298606351382226,8.293351610692255,4098,4.2215714982918495,14.982918496827722,13.469985358711567,0.0,7.833089311859444,4.904831625183016,3681,2.444987775061125,3.1513175767454493,16.35425156207552,0.0,4.536810649280087,4.45531105677805,09,-143.755647543368
09_71_155,11064,2.955531453362256,4.953000723065799,21.8998553868402,11.930585683297181,0.0,3.68763557483731,7.971800433839479,10402.0,2.489905787348587,11.238223418573352,21.380503749278983,0.0,8.988656027686984,10.180734474139589,10155,5.376661742983751,13.540128015755784,17.321516494337764,0.0,8.823239783357952,8.27178729689808,9064,3.6738746690203,3.894527802294793,21.657105030891437,0.0,4.225507502206531,7.193292144748456,09,-248.2065135795822
09_71_156,10311,2.3179129085442733,3.9278440500436425,25.603724178062265,8.311511977499759,0.0,3.2489574241101735,6.294248860440306,9763.0,1.5978695073235687,12.772713305336476,15.374372631363311,0.0,7.845948991088806,8.102017822390659,9249,3.93556060114607,14.76916423397124,13.666342307276464,0.0,7.525137852740837,5.405989836739107,8284,2.595364558184452,3.4282955094157415,15.849830999517142,0.0,4.068083051665862,5.154514727184935,09,-276.47000895858196
09_71_157,2058,2.3323615160349855,4.56754130223518,19.776482021379984,12.779397473275026,0.0,3.2555879494655007,7.240038872691934,2066.0,2.2265246853823815,11.181026137463698,22.797676669893512,0.0,7.405614714424008,8.66408518877057,2023,5.486900642609985,12.951062778052396,18.932278793870488,0.0,8.156203657933762,6.327236777063766,1747,2.6903262736119062,2.5186033199771036,26.38809387521465,0.0,3.949627933600458,5.7813394390383515,09,-63.89070732023104
09_71_158,1697,2.0624631703005303,3.7124337065409545,20.329994107248083,7.837360047142015,0.0,4.537418974661167,7.601649970536241,1654.0,1.3905683192261185,10.822249093107619,13.301088270858525,0.0,10.76178960096735,8.101571946795646,1548,4.069767441860465,14.79328165374677,9.043927648578812,0.0,9.560723514211885,6.976744186046512,1359,3.090507726269316,4.7829286239882265,11.18469462840324,0.0,4.194260485651214,5.960264900662252,09,-52.68502480122753
09_71_159,7312,2.557439824945295,4.636214442013129,24.152078774617067,10.626367614879651,0.0,3.6105032822757113,9.25875273522976,7096.0,2.8325817361894026,12.288613303269448,17.826944757609922,0.0,9.188275084554679,10.527057497181511,6879,5.524058729466493,14.449774676551824,16.644861171681928,0.0,9.390899840093036,7.74821921790958,6189,4.411051866214251,3.5062207141703023,20.60106640814348,0.0,3.894005493617709,6.770075941185976,09,-209.4374218994278
