Wahlkreis,swing_BSW,swing_AfD,swing_FDP,swing_Die Linke,swing_SPD,swing_CDU,swing_GRÜNE,swing_CSU,swing_FREIE WÄHLER
84,-6.1853657473444645,5.882037279349266,-0.0107380689938865,9.68626765472013,0.5377103236828553,0.1027172761974135,-0.3547154605906835,0.0,-0.0480530325961902
85,-5.123625764496733,4.908551040280436,0.0725392743798836,13.41824275300828,0.9317044405063887,0.8758988080505965,-1.2998198100398015,0.0,-0.2569498633823553
86,-0.5179697614680809,2.8390296517529734,-1.89077846509563,9.56044865768309,3.7044707042517757,0.704914696718248,0.6249685327944192,0.0,-0.1721816863221218
87,-0.6142673999882792,5.047659747839376,-1.5314433631728592,5.206073921296485,2.5308252523043326,-2.5743452950773706,-0.6604321787989419,0.0,0.08901582467579452
88,-0.4032350059385706,5.12726840325898,-1.6675273540511388,4.941177304941038,2.361203671216733,-2.6195237191010805,-0.6283116335166492,0.0,-0.22164522033294876
89,-0.3626691123955592,4.550158926865642,-1.9641263034090768,4.764654360680399,2.455156838966492,-1.7021216408915107,-0.6080121910281528,0.0,-0.20169736794188906
90,-0.2976299457227058,4.435755412795705,-1.677856198814788,5.2184369210945345,2.4964678854149764,-1.497113067961019,-0.8228853435011857,0.0,-0.19295033014326654
91,-0.3847325506733195,4.804912295383813,-1.874605618485832,4.664605754822906,2.5989673093992627,-2.034545692800342,-0.6559732271026097,0.0,-0.22208519057548312
92,-0.2716127688212961,2.8764581046437137,-2.037252450806366,9.960384683336708,3.6987752181287115,0.7999314067979313,-2.182324078295675,0.0,-0.1807987847206734
93,-0.2716127688212961,2.876458104643714,-2.037252450806366,9.960384683336708,3.698775218128711,0.7999314067979314,-2.182324078295675,0.0,-0.18079878472067343
94,-0.2716127688212961,2.8764581046437137,-2.037252450806366,9.960384683336708,3.6987752181287115,0.7999314067979313,-2.182324078295675,0.0,-0.1807987847206734
95,-0.2376367811003739,3.4418707433255165,-2.421749933999302,7.839022038225055,3.184616423646688,0.234996565943323,-1.0925222693295709,0.0,-0.2395743475019648
96,-0.6188445457017465,4.537313187689674,-2.0208677708174294,5.161408741218858,2.5811325857352685,-0.9478450208676729,-0.4744392420518358,0.0,-0.0893949526931818
97,-0.4740507344950377,3.761344780228846,-2.667805027973127,4.935168277458244,2.6376807046800472,0.658304310934594,-0.424514322854242,0.0,-0.34703571201479655
98,-0.3659321915598838,5.003338933570806,-1.456264154980215,4.567503837007057,2.390341956944841,-2.9506177408430685,-0.4520478489773548,0.0,-0.15578563407794618
99,-0.39570416187993107,3.8065152546936156,-2.1469757934926563,5.191390294312312,2.948919643603279,-0.15461907942219943,-1.0152422564739776,0.0,-0.21871941322055347
100,-0.2020852490475844,3.5350001459845313,-2.029550520807241,8.250283880475905,3.27129513650826,-0.36564054788733874,-1.7431029924586592,0.0,-0.1582008117381916
101,-0.7002046135198956,3.9402807682109415,-1.6373669621428455,8.086531229258235,2.677384986093003,-0.2570573189459644,-2.132737654581895,0.0,-0.1230933677974541
102,-0.3869052072003726,4.398573643117742,-1.7315742342140963,6.809297052060596,2.814443930295015,-1.3242832863135017,-1.5273538151160713,0.0,-0.16211216204570233
103,-0.19578833050024988,4.312004379754342,-2.3041866675657343,5.011674071935728,2.646210966827206,-1.0947620670429674,-0.5362338222106303,0.0,-0.22561301655371868
